"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 16-Jul-2024"
"NIFTY MICROCAP 250","24,759.15","24,806.60","24,693.95","24,672.95","24,789.90","-","116.95","0.47","23,29,75,003","3,682.60","26,476.90","5,802.95","3.20","2.67"
"IXIGO","194.00","206.50","188.50","178.96","203.58","-","24.62","13.76","3,95,46,270","793.50","206.50","117.00","-4.16","3.30"
"THOMASCOOK","167.29","176.99","166.50","165.92","174.45","-","8.53","5.14","38,72,331","67.07","264.00","118.25","1.50","-33.92"
"PRUDENT","2,777.70","2,909.50","2,777.70","2,777.70","2,895.00","-","117.30","4.22","48,987","14.07","3,735.20","1,570.00","-0.99","32.24"
"STLTECH","114.55","120.00","112.34","114.55","119.13","-","4.58","4.00","55,58,031","65.21","155.05","58.86","15.26","-22.89"
"STARCEMENT","212.00","221.98","211.60","211.53","220.00","-","8.47","4.00","4,12,279","9.01","247.30","171.55","-0.96","3.06"
"SHRIPISTON","2,397.60","2,512.00","2,378.50","2,385.70","2,476.70","-","91.00","3.81","1,24,836","30.97","2,610.00","1,662.55","-2.37","25.97"
"PNGJL","603.70","633.95","600.05","600.75","623.65","-","22.90","3.81","4,11,711","25.56","848.00","473.80","2.52","-"
"VESUVIUS","518.80","534.10","512.00","515.10","533.80","-","18.70","3.63","1,67,522","8.86","646.00","356.13","-12.40","-90.23"
"JAICORPLTD","111.15","115.50","111.06","110.39","114.24","-","3.85","3.49","4,25,002","4.82","406.65","81.49","-3.15","-71.60"
"MAXESTATES","509.55","529.90","508.00","512.55","529.35","-","16.80","3.28","1,05,699","5.52","698.75","341.10","0.64","-4.39"
"SENCO","355.90","368.90","353.00","355.10","366.65","-","11.55","3.25","4,80,705","17.45","772.00","227.40","-1.29","-63.59"
"AGI","864.95","893.00","861.70","861.70","889.05","-","27.35","3.17","2,28,735","20.09","1,307.90","599.10","4.91","2.35"
"ARVINDFASN","465.00","476.70","460.40","460.80","473.80","-","13.00","2.82","3,26,811","15.43","639.70","320.20","-6.94","-8.63"
"GREENPLY","323.90","331.80","320.25","320.20","329.10","-","8.90","2.78","3,48,814","11.43","411.95","245.10","-1.63","-1.54"
"TIMETECHNO","451.20","463.40","449.00","449.95","462.40","-","12.45","2.77","6,81,512","31.15","513.55","303.25","2.83","29.86"
"BECTORFOOD","1,503.10","1,532.00","1,493.40","1,489.70","1,531.00","-","41.30","2.77","96,160","14.61","2,200.00","1,276.00","7.33","4.09"
"JKLAKSHMI","979.20","1,015.00","972.80","971.15","996.95","-","25.80","2.66","3,31,863","33.13","1,015.00","660.50","18.29","11.49"
"SEQUENT","189.00","197.00","187.91","187.45","192.31","-","4.86","2.59","8,81,906","17.11","240.70","117.35","-5.45","30.02"
"INNOVACAP","904.90","930.00","900.30","905.20","927.85","-","22.65","2.50","46,868","4.32","1,260.00","501.00","1.37","75.94"
"INGERRAND","4,194.00","4,272.10","4,194.00","4,151.30","4,254.90","-","103.60","2.50","6,417","2.72","4,694.00","3,055.00","8.34","-1.83"
"CELLO","627.55","643.70","624.15","627.55","641.60","-","14.05","2.24","66,603","4.25","1,014.35","494.75","3.45","-36.63"
